sys_time,eeg_time,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,stimulus
1782597625.7619996,92615.2785848,231462.34375,203182.640625,685667.4375,243087.125,711219.5625,197949.03125,350180.9375,203784.0,0
1782597625.7620382,92615.2785858,231462.34375,203182.640625,685667.4375,243087.125,711219.5625,197949.03125,350180.9375,203784.0,0
1782597625.762058,92615.2785878,231462.34375,203182.640625,685667.4375,243087.125,711219.5625,197949.03125,350180.9375,203784.0,0
1782597625.7620728,92615.2785887,231462.34375,203182.640625,685667.4375,243087.125,711219.5625,197949.03125,350180.9375,203784.0,0
1782597625.7621198,92615.2785896,231462.34375,203182.640625,685667.4375,243087.125,711219.5625,197949.03125,350180.9375,203784.0,0
1782597625.7621357,92615.2785903,231462.34375,203182.640625,685667.4375,243087.125,711219.5625,197949.03125,350180.9375,203784.0,0
1782597625.7621522,92615.2785913,231462.34375,203182.640625,685667.4375,243087.125,711219.5625,197949.03125,350180.9375,203784.0,0
1782597625.7621682,92615.2785922,231462.34375,203182.640625,685667.4375,243087.125,711219.5625,197949.03125,350180.9375,203784.0,0
1782597625.762184,92615.2785933,231246.953125,202997.03125,685657.125,242788.234375,711213.5625,197820.8125,349910.0625,203520.328125,0
1782597625.762216,92615.2785943,231428.0,203151.96875,685681.1875,243021.5,711215.1875,197904.671875,350050.5,203707.734375,0
1782597625.7622488,92615.2794826,231598.859375,203352.875,685780.0,243213.28125,711215.4375,198007.046875,350170.59375,203866.6875,0
1782597625.7622705,92615.2794861,231520.1875,203322.75,685726.0,243104.5625,711213.4375,197985.234375,350107.5625,203781.484375,0
1782597625.7622898,92615.2794873,231284.59375,203088.765625,685665.25,242836.34375,711209.8125,197859.703125,349934.90625,203556.625,0
1782597625.762345,92615.2794888,231238.015625,203005.609375,685601.25,242800.390625,711210.4375,197818.21875,349903.875,203520.25,0
1782597625.7623663,92615.2794902,231419.15625,203158.0625,685643.4375,243030.171875,711211.5625,197897.34375,350042.8125,203702.984375,0
1782597625.7624102,92615.2794915,231595.640625,203361.1875,685747.0,243219.53125,711212.0625,197999.1875,350164.78125,203864.28125,0
1782597625.7624626,92615.2794929,231514.90625,203324.265625,685695.875,243109.125,711208.875,197977.453125,350098.59375,203778.890625,0
